ID,Roomtype
1,"Flex-/ Co-Work/"
2,"Einzel-/Zweierbüros"
2,"Einzel-/Zweierbüros"
2,"Einzel-/Zweierbüros"
3,"Technikum"
4,"Smart Farming"
5,"Robotik"
6,"Verkehrsflächen, Flure"
6,"Verkehrsflächen, Flure"
8,"WCs"
8,"WCs"
8,"WCs"
8,"WCs"
10,"Putzmittel/ Lager"
13,"Serverräume"
14,"ELT-Schacht"
17,"Treppenhäuser/Magistrale"
18,"Schächte"
18,"Schächte"
19,"Aufzüge"
1,"Flex-/ Co-Work/"
1,"Flex-/ Co-Work/"
1,"Flex-/ Co-Work/"
2,"Einzel-/Zweierbüros"
2,"Einzel-/Zweierbüros"
2,"Einzel-/Zweierbüros"
2,"Einzel-/Zweierbüros"
2,"Einzel-/Zweierbüros"
2,"Einzel-/Zweierbüros"
6,"Verkehrsflächen, Flure"
6,"Verkehrsflächen, Flure"
8,"WCs"
8,"WCs"
8,"WCs"
10,"Putzmittel/ Lager"
11,"Lager innenliegend"
13,"Serverräume"
14,"ELT-Schacht"
17,"Treppenhäuser/Magistrale"
18,"Schächte"
18,"Schächte"
19,"Aufzüge"
1,"Flex-/ Co-Work/"
2,"Einzel-/Zweierbüros"
2,"Einzel-/Zweierbüros"
2,"Einzel-/Zweierbüros"
2,"Einzel-/Zweierbüros"
2,"Einzel-/Zweierbüros"
2,"Einzel-/Zweierbüros"
2,"Einzel-/Zweierbüros"
2,"Einzel-/Zweierbüros"
2,"Einzel-/Zweierbüros"
6,"Verkehrsflächen, Flure"
6,"Verkehrsflächen, Flure"
8,"WCs"
8,"WCs"
8,"WCs"
10,"Putzmittel/ Lager"
11,"Lager innenliegend"
13,"Serverräume"
14,"ELT-Schacht"
17,"Treppenhäuser/Magistrale"
18,"Schächte"
18,"Schächte"
19,"Aufzüge"
20,"Serminarraum"
1,"Flex-/ Co-Work/"
1,"Flex-/ Co-Work/"
1,"Flex-/ Co-Work/"
2,"Einzel-/Zweierbüros"
2,"Einzel-/Zweierbüros"
2,"Einzel-/Zweierbüros"
2,"Einzel-/Zweierbüros"
2,"Einzel-/Zweierbüros"
2,"Einzel-/Zweierbüros"
2,"Einzel-/Zweierbüros"
2,"Einzel-/Zweierbüros"
2,"Einzel-/Zweierbüros"
6,"Verkehrsflächen, Flure"
6,"Verkehrsflächen, Flure"
8,"WCs"
8,"WCs"
8,"WCs"
10,"Putzmittel/ Lager"
13,"Serverräume"
14,"ELT-Schacht"
17,"Treppenhäuser/Magistrale"
18,"Schächte"
18,"Schächte"
19,"Aufzüge"
21,"Diele"
1,"Flex-/ Co-Work/"
2,"Einzel-/Zweierbüros"
2,"Einzel-/Zweierbüros"
2,"Einzel-/Zweierbüros"
2,"Einzel-/Zweierbüros"
2,"Einzel-/Zweierbüros"
2,"Einzel-/Zweierbüros"
2,"Einzel-/Zweierbüros"
2,"Einzel-/Zweierbüros"
2,"Einzel-/Zweierbüros"
2,"Einzel-/Zweierbüros"
6,"Verkehrsflächen, Flure"
6,"Verkehrsflächen, Flure"
8,"WCs"
8,"WCs"
8,"WCs"
10,"Putzmittel/ Lager"
10,"Putzmittel/ Lager"
13,"Serverräume"
14,"ELT-Schacht"
17,"Treppenhäuser/Magistrale"
18,"Schächte"
18,"Schächte"
19,"Aufzüge"
1,"Flex-/ Co-Work/"
1,"Flex-/ Co-Work/"
2,"Einzel-/Zweierbüros"
2,"Einzel-/Zweierbüros"
2,"Einzel-/Zweierbüros"
2,"Einzel-/Zweierbüros"
2,"Einzel-/Zweierbüros"
2,"Einzel-/Zweierbüros"
2,"Einzel-/Zweierbüros"
6,"Verkehrsflächen, Flure"
6,"Verkehrsflächen, Flure"
8,"WCs"
8,"WCs"
8,"WCs"
10,"Putzmittel/ Lager"
10,"Putzmittel/ Lager"
11,"Lager innenliegend"
13,"Serverräume"
17,"Treppenhäuser/Magistrale"
18,"Schächte"
18,"Schächte"
19,"Aufzüge"
20,"Serminarraum"
20,"Serminarraum"
20,"Serminarraum"
6,"Verkehrsflächen, Flure"
6,"Verkehrsflächen, Flure"
9,"ELT-Zentrale"
9,"ELT-Zentrale"
9,"ELT-Zentrale"
9,"ELT-Zentrale"
9,"ELT-Zentrale"
11,"Lager innenliegend"
11,"Lager innenliegend"
11,"Lager innenliegend"
12,"TGA-Zentrale"
12,"TGA-Zentrale"
17,"Treppenhäuser/Magistrale"
18,"Schächte"
18,"Schächte"
19,"Aufzüge"
